,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"September 7, 2020",Reliable.,Good back up solution. I use it for storing video files etc that don't need fast and regular access too. These have become very cheap over the years as ssd have became mainstream.,yes,0,5.0,https://www.amazon.ca/Seagate-Expansion-Portable-External-STEA2000400/dp/B00TKFEE5S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:23:11.566596,2020-09-18 19:23:19.871520,Gavin,Clothing & Accessories,B002G9UDYG,B00TKFEE5S
1,1,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"September 7, 2020",Trustworthy,Good reliable storage. I have trusted SanDisk for years now.,yes,0,5.0,https://www.amazon.ca/SanDisk-Ultra-Flair-Performance-SDCZ73-128G-G46/dp/B015CH1PJU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:23:27.955963,2020-09-18 19:23:37.272389,Gavin,Clothing & Accessories,B002G9UDYG,B015CH1PJU
2,2,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"September 7, 2020",Fun shirt,"Fit is good. Great design.
Many people ask about and comment on the shirt.",yes,0,5.0,https://www.amazon.ca/Mighty-Boxing-Philadelphia-Vintage-T-Shirt/dp/B074P99FS4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:23:44.365259,2020-09-18 19:23:52.626662,Gavin,Clothing & Accessories,B002G9UDYG,B074P99FS4
3,3,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"September 6, 2020",Decent,"Holds lots of gear etc. Seems to be durable enough for daily use and will be good enough for casual camper or hiker.

Only con for price is that the straps loosen up in shoulder over time... Not to much.... But if you like to sinch tight and keep it that way this doesn't hold.

Affordable casual hike/camp pack or for someone going to school or work etc.",yes,0,5.0,https://www.amazon.ca/Mardingtop-Tactical-Backpacks-Traveling-Motorcycle/dp/B07PPDXV55/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:23:59.713594,2020-09-18 19:24:05.986188,Gavin,Clothing & Accessories,B002G9UDYG,B07PPDXV55
4,4,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"September 5, 2020",Good Mouse Pad,Stitched edges are great. The underside of the mousepad has rubbery steel series logos to minimize the pad from moving around the desk/table. Mouse glide and tracking are great. The size medium is perfect for me. Not too big and not too small.,yes,0,5.0,https://www.amazon.ca/SteelSeries-QcK-Gaming-Surface-Optimized/dp/B07KJ53QDW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:24:16.071044,2020-09-18 19:24:22.329892,Gavin,Clothing & Accessories,B002G9UDYG,B07KJ53QDW
5,5,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"August 21, 2020",Reliable storage,Bought as additional storage for my Samsung Galaxy S10. Speeds are as advertised.,yes,0,5.0,https://www.amazon.ca/Samsung-Select-microSDXC-Adapter-MB-ME256HA/dp/B0887P21Z2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:24:29.420324,2020-09-18 19:24:35.689086,Gavin,Clothing & Accessories,B002G9UDYG,B0887P21Z2
6,6,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"August 20, 2020",Great,"Great addition to my Razer Huntsmen Tournament Edition keyboard. I used two to six o-rings per key. Some keys had 1 or 3 stems, I used 2 o-rings per stem.
Number of rings needed for your board and preference will vary.

Don't expect a dramatic sound difference. It is quiter but not by huge degree. The feel is a more noticeable difference. You get slightly less travel and a nice cushion when bottoming out. Overall my board is quiter and feels alot better to me.",yes,One,5.0,https://www.amazon.ca/ThreeBulls-120Pcs-Dampeners-Keyboards-Dampers/dp/B01N6438BK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:24:45.780365,2020-09-18 19:24:55.121626,Gavin,Clothing & Accessories,B002G9UDYG,B01N6438BK
7,7,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"August 20, 2020",Quality control could be better,"I would have given 5 stars but almost all keys have a plastic tab piece on them from molding process. You can see in first pic if you look at keys close up. The keys are amazing otherwise though.

I bought these for my razer huntsmen tournament edition. I didn't replace all keys, kept using F1 through f12 as well as space bar from original razer set. I wanted to keep the function key legends and didn't want the hyper x logo on spacebar.",yes,0,4.0,https://www.amazon.ca/HyperX-Pudding-Keycaps-Translucent-Mechanical/dp/B087QTWCTQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:25:04.214334,2020-09-18 19:25:13.469965,Gavin,Clothing & Accessories,B002G9UDYG,B087QTWCTQ
8,8,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"August 16, 2020",Good addition for any setup,"Great under desk headset holder.
3m adhesive holds great! I added this to a new desk I bought and it sticks on and holds no problem. I let it stick for 48 hours before leaving a headset attached. Make sure surface is clean if just relying in 3m adhesive. If you are worried about holding strength there are two holes in headset holder so you can screw it to desk for permanent hold.",yes,0,5.0,https://www.amazon.ca/Universal-Headphone-JOTO-Silicone-Sennheiser/dp/B01FVT0L8A/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:25:22.562630,2020-09-18 19:25:29.845302,Gavin,Clothing & Accessories,B002G9UDYG,B01FVT0L8A
9,9,AHYO26JVHYE3E3XIL6QXDQB6GTBA,"August 14, 2020",Sleek and durable,"Nice sleek and durable case.
Hard back is nice and helps case keep clean while offering dual layer protection. Raised front helps protect screen of phone.
Buttons feel great. All cut outs are precise.
Dropped phone shortly after putting this on and held up great :)",yes,0,5.0,https://www.amazon.ca/OtterBox-Symmetry-Case-Galaxy-S10/dp/B07N9GW6F8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-18 19:25:36.940593,2020-09-18 19:25:43.204050,Gavin,Clothing & Accessories,B002G9UDYG,B07N9GW6F8
